Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Import_€_Any
2016,10,Sant Martí,68,el Poblenou,20828.0
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,24150.0
2016,10,Sant Martí,70,el Besòs i el Maresme,12392.0
2016,10,Sant Martí,71,Provençals del Poblenou,19201.0
2016,10,Sant Martí,72,Sant Martí de Provençals,17821.0
2016,10,Sant Martí,73,la Verneda i la Pau,16310.0
2017,1,Ciutat Vella,1,el Raval,11407.0
2017,1,Ciutat Vella,2,el Barri Gòtic,14766.0
2017,1,Ciutat Vella,3,la Barceloneta,15064.0
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16461.0
2017,2,Eixample,5,el Fort Pienc,21495.0
2017,2,Eixample,6,la Sagrada Família,21465.0
2017,2,Eixample,7,la Dreta de l'Eixample,28119.0
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,25944.0
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,24050.0
2017,2,Eixample,10,Sant Antoni,21627.0
2017,3,Sants-Montjuïc,11,el Poble Sec,15082.0
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,12703.0
2017,3,Sants-Montjuïc,13,la Marina de Port,16244.0
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,19147.0
2017,3,Sants-Montjuïc,15,Hostafrancs,18736.0
2017,3,Sants-Montjuïc,16,la Bordeta,18996.0
2017,3,Sants-Montjuïc,17,Sants - Badal,18434.0
2017,3,Sants-Montjuïc,18,Sants,20268.0
2017,4,Les Corts,19,les Corts,27393.0
2017,4,Les Corts,20,la Maternitat i Sant Ramon,24875.0
2017,4,Les Corts,21,Pedralbes,35710.0
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",25748.0
2017,5,Sarrià-Sant Gervasi,23,Sarrià,31906.0
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,38449.0
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,33774.0
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,35409.0
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,28651.0
2017,6,Gràcia,28,Vallcarca i els Penitents,24798.0
2017,6,Gràcia,29,el Coll,19541.0
2017,6,Gràcia,30,la Salut,23387.0
2017,6,Gràcia,31,la Vila de Gràcia,21694.0
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,23771.0
2017,7,Horta-Guinardó,33,el Baix Guinardó,20371.0
2017,7,Horta-Guinardó,34,Can Baró,19354.0
2017,7,Horta-Guinardó,35,el Guinardó,20168.0
2017,7,Horta-Guinardó,36,la Font d'en Fargues,23886.0
2017,7,Horta-Guinardó,37,el Carmel,14811.0
2017,7,Horta-Guinardó,38,la Teixonera,16516.0
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,17484.0
2017,7,Horta-Guinardó,40,Montbau,17576.0
2017,7,Horta-Guinardó,41,la Vall d'Hebron,21613.0
2017,7,Horta-Guinardó,42,la Clota,19162.0
2017,7,Horta-Guinardó,43,Horta,18846.0
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,18415.0
2017,8,Nou Barris,45,Porta,16368.0
2017,8,Nou Barris,46,el Turó de la Peira,13658.0
2017,8,Nou Barris,47,Can Peguera,12507.0
2017,8,Nou Barris,48,la Guineueta,18477.0
2017,8,Nou Barris,49,Canyelles,17173.0
2017,8,Nou Barris,50,les Roquetes,12855.0
2017,8,Nou Barris,51,Verdun,13742.0
2017,8,Nou Barris,52,la Prosperitat,15154.0
2017,8,Nou Barris,53,la Trinitat Nova,11843.0
2017,8,Nou Barris,54,Torre Baró,11092.0
2017,8,Nou Barris,55,Ciutat Meridiana,10554.0
2017,8,Nou Barris,56,Vallbona,11191.0
2017,9,Sant Andreu,57,la Trinitat Vella,11784.0
2017,9,Sant Andreu,58,Baró de Viver,11492.0
2017,9,Sant Andreu,59,el Bon Pastor,14811.0
2017,9,Sant Andreu,60,Sant Andreu,20478.0
2017,9,Sant Andreu,61,la Sagrera,19080.0
2017,9,Sant Andreu,62,el Congrés i els Indians,18907.0
2017,9,Sant Andreu,63,Navas,19321.0
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,20076.0
2017,10,Sant Martí,65,el Clot,19512.0
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,20237.0
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,30425.0
2017,10,Sant Martí,68,el Poblenou,21051.0
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,23277.0
2017,10,Sant Martí,70,el Besòs i el Maresme,12433.0
2017,10,Sant Martí,71,Provençals del Poblenou,19199.0
2017,10,Sant Martí,72,Sant Martí de Provençals,17766.0
2017,10,Sant Martí,73,la Verneda i la Pau,16226.0
2018,1,Ciutat Vella,1,el Raval,11736.0
2018,1,Ciutat Vella,2,el Barri Gòtic,15752.0
2018,1,Ciutat Vella,3,la Barceloneta,15680.0
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17397.0
2018,2,Eixample,5,el Fort Pienc,21983.0
2018,2,Eixample,6,la Sagrada Família,21812.0
2018,2,Eixample,7,la Dreta de l'Eixample,28243.0
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,26448.0
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,24358.0
2018,2,Eixample,10,Sant Antoni,21586.0
2018,3,Sants-Montjuïc,11,el Poble Sec,15525.0
2018,3,Sants-Montjuïc,12,la Marina del Prat Vermell,12442.0
2018,3,Sants-Montjuïc,13,la Marina de Port,16405.0
2018,3,Sants-Montjuïc,14,la Font de la Guatlla,19582.0
2018,3,Sants-Montjuïc,15,Hostafrancs,18934.0
2018,3,Sants-Montjuïc,16,la Bordeta,19406.0
2018,3,Sants-Montjuïc,17,Sants - Badal,19106.0
2018,3,Sants-Montjuïc,18,Sants,20991.0
2018,4,Les Corts,19,les Corts,27616.0
2018,4,Les Corts,20,la Maternitat i Sant Ramon,25043.0
2018,4,Les Corts,21,Pedralbes,36589.0
2018,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",25513.0
2018,5,Sarrià-Sant Gervasi,23,Sarrià,33548.0
2018,5,Sarrià-Sant Gervasi,24,les Tres Torres,39328.0
2018,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,34151.0
2018,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,35891.0
2018,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,28809.0
2018,6,Gràcia,28,Vallcarca i els Penitents,24907.0
2018,6,Gràcia,29,el Coll,19625.0
2018,6,Gràcia,30,la Salut,23503.0
2018,6,Gràcia,31,la Vila de Gràcia,22487.0
2018,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,23783.0
2018,7,Horta-Guinardó,33,el Baix Guinardó,20689.0
2018,7,Horta-Guinardó,34,Can Baró,19464.0
2018,7,Horta-Guinardó,35,el Guinardó,20207.0
2018,7,Horta-Guinardó,36,la Font d'en Fargues,23431.0
2018,7,Horta-Guinardó,37,el Carmel,15032.0
2018,7,Horta-Guinardó,38,la Teixonera,16716.0
2018,7,Horta-Guinardó,39,Sant Genís dels Agudells,17461.0
2018,7,Horta-Guinardó,40,Montbau,18331.0
2018,7,Horta-Guinardó,41,la Vall d'Hebron,22049.0
2018,7,Horta-Guinardó,42,la Clota,19759.0
2018,7,Horta-Guinardó,43,Horta,19354.0
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,18588.0
2018,8,Nou Barris,45,Porta,16800.0
2018,8,Nou Barris,46,el Turó de la Peira,13966.0
2018,8,Nou Barris,47,Can Peguera,12880.0
2018,8,Nou Barris,48,la Guineueta,18607.0
2018,8,Nou Barris,49,Canyelles,17218.0
2018,8,Nou Barris,50,les Roquetes,12937.0
2018,8,Nou Barris,51,Verdun,13823.0
2018,8,Nou Barris,52,la Prosperitat,15324.0
2018,8,Nou Barris,53,la Trinitat Nova,12018.0
2018,8,Nou Barris,54,Torre Baró,11384.0
2018,8,Nou Barris,55,Ciutat Meridiana,10610.0
2018,8,Nou Barris,56,Vallbona,11494.0
2018,9,Sant Andreu,57,la Trinitat Vella,11948.0
2018,9,Sant Andreu,58,Baró de Viver,12093.0
2018,9,Sant Andreu,59,el Bon Pastor,15032.0
2018,9,Sant Andreu,60,Sant Andreu,20670.0
2018,9,Sant Andreu,61,la Sagrera,19090.0
2018,9,Sant Andreu,62,el Congrés i els Indians,19343.0
2018,9,Sant Andreu,63,Navas,19605.0
2018,10,Sant Martí,64,el Camp de l'Arpa del Clot,20347.0
2018,10,Sant Martí,65,el Clot,19960.0
2018,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,20282.0
2018,10,Sant Martí,67,la Vila Olímpica del Poblenou,30716.0
2018,10,Sant Martí,68,el Poblenou,21158.0
2018,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,23908.0
2018,10,Sant Martí,70,el Besòs i el Maresme,12694.0
2018,10,Sant Martí,71,Provençals del Poblenou,19459.0
2018,10,Sant Martí,72,Sant Martí de Provençals,17956.0
2018,10,Sant Martí,73,la Verneda i la Pau,16128.0
2019,1,Ciutat Vella,1,el Raval,12142.0
2019,1,Ciutat Vella,2,el Barri Gòtic,16732.0
2019,1,Ciutat Vella,3,la Barceloneta,16322.0
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18075.0
2019,2,Eixample,5,el Fort Pienc,23137.0
2019,2,Eixample,6,la Sagrada Família,22753.0
2019,2,Eixample,7,la Dreta de l'Eixample,30341.0
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,27634.0
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,25378.0
2019,2,Eixample,10,Sant Antoni,22851.0
2019,3,Sants-Montjuïc,11,el Poble Sec,16160.0
2019,3,Sants-Montjuïc,12,la Marina del Prat Vermell,12528.0
2019,3,Sants-Montjuïc,13,la Marina de Port,16999.0
2019,3,Sants-Montjuïc,14,la Font de la Guatlla,20302.0
2019,3,Sants-Montjuïc,15,Hostafrancs,19678.0
2019,3,Sants-Montjuïc,16,la Bordeta,19998.0
2019,3,Sants-Montjuïc,17,Sants - Badal,19724.0
2019,3,Sants-Montjuïc,18,Sants,21686.0
2019,4,Les Corts,19,les Corts,28898.0
2019,4,Les Corts,20,la Maternitat i Sant Ramon,26416.0
2019,4,Les Corts,21,Pedralbes,39025.0
2019,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",29429.0
2019,5,Sarrià-Sant Gervasi,23,Sarrià,35993.0
2019,5,Sarrià-Sant Gervasi,24,les Tres Torres,42055.0
2019,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,36874.0
2019,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,37290.0
2019,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,30800.0
2019,6,Gràcia,28,Vallcarca i els Penitents,26010.0
2019,6,Gràcia,29,el Coll,21252.0
2019,6,Gràcia,30,la Salut,24786.0
2019,6,Gràcia,31,la Vila de Gràcia,23749.0
2019,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,25292.0
2019,7,Horta-Guinardó,33,el Baix Guinardó,21811.0
2019,7,Horta-Guinardó,34,Can Baró,20248.0
2019,7,Horta-Guinardó,35,el Guinardó,21229.0
2019,7,Horta-Guinardó,36,la Font d'en Fargues,24807.0
2019,7,Horta-Guinardó,37,el Carmel,15582.0
2019,7,Horta-Guinardó,38,la Teixonera,17118.0
2019,7,Horta-Guinardó,39,Sant Genís dels Agudells,17351.0
2019,7,Horta-Guinardó,40,Montbau,19170.0
2019,7,Horta-Guinardó,41,la Vall d'Hebron,22778.0
2019,7,Horta-Guinardó,42,la Clota,19442.0
2019,7,Horta-Guinardó,43,Horta,19947.0
2019,8,Nou Barris,44,Vilapicina i la Torre Llobeta,19414.0
2019,8,Nou Barris,45,Porta,16964.0
2019,8,Nou Barris,46,el Turó de la Peira,14545.0
2019,8,Nou Barris,47,Can Peguera,12738.0
2019,8,Nou Barris,48,la Guineueta,18932.0
2019,8,Nou Barris,49,Canyelles,17878.0
2019,8,Nou Barris,50,les Roquetes,13014.0
2019,8,Nou Barris,51,Verdun,14267.0
2019,8,Nou Barris,52,la Prosperitat,15799.0
2019,8,Nou Barris,53,la Trinitat Nova,12205.0
2019,8,Nou Barris,54,Torre Baró,11455.0
2019,8,Nou Barris,55,Ciutat Meridiana,10739.0
2019,8,Nou Barris,56,Vallbona,11660.0
2019,9,Sant Andreu,57,la Trinitat Vella,11994.0
2019,9,Sant Andreu,58,Baró de Viver,12022.0
2019,9,Sant Andreu,59,el Bon Pastor,15351.0
2019,9,Sant Andreu,60,Sant Andreu,21547.0
2019,9,Sant Andreu,61,la Sagrera,19799.0
2019,9,Sant Andreu,62,el Congrés i els Indians,20089.0
2019,9,Sant Andreu,63,Navas,20375.0
2019,10,Sant Martí,64,el Camp de l'Arpa del Clot,20927.0
2019,10,Sant Martí,65,el Clot,20483.0
2019,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,21441.0
2019,10,Sant Martí,67,la Vila Olímpica del Poblenou,32436.0
2019,10,Sant Martí,68,el Poblenou,22751.0
2019,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,25589.0
2019,10,Sant Martí,70,el Besòs i el Maresme,12787.0
2019,10,Sant Martí,71,Provençals del Poblenou,20080.0
2019,10,Sant Martí,72,Sant Martí de Provençals,18637.0
2019,10,Sant Martí,73,la Verneda i la Pau,16820.0
